Mix_fact,Accuracy,prob_pos_sex_Male_1.0,prob_pos_sex_Male_0.0,prob_pos_sex_Male_0.0-sex_Male_1.0,prob_pos_sex_Male_0.0/sex_Male_1.0,TPR_sens_1,TPR_sens_0,TPR_sex_Male_0.0-sex_Male_1.0,TPR_sens_0/sens_1
0.00,0.47768561,1,1,0,1,1,1,0,1
0.10,0.868773566,0.453316752,0.640072679,0.186755927,0.708226998,0.906162001,0.974347711,0.068185711,0.93001912
0.20,0.891794063,0.434695814,0.59660673,0.161910916,0.728613662,0.903180388,0.959852411,0.056672024,0.940957565
0.30,0.897511483,0.437379324,0.578413328,0.141034004,0.756170895,0.908729501,0.950935606,0.042206104,0.955616233
0.40,0.909097141,0.39797755,0.545259333,0.147281783,0.729886728,0.875434819,0.929851533,0.054416714,0.941478061
0.50,0.911976417,0.404260889,0.537802633,0.133541744,0.751690052,0.885621998,0.926337521,0.040715523,0.956046773
0.60,0.908768081,0.399908368,0.552031715,0.152123347,0.72443006,0.876842803,0.936176755,0.059333952,0.936620994
0.70,0.908315624,0.383021894,0.526334419,0.143312525,0.72771584,0.85472917,0.911930071,0.057200901,0.937274904
0.80,0.905696853,0.387472592,0.491906178,0.104433586,0.787696129,0.858621832,0.876614249,0.017992417,0.979475103
0.90,0.902515939,0.364171876,0.478408608,0.114236733,0.76121514,0.829385456,0.858824563,0.029439107,0.965721629
1.00,0.52231439,0,0,0,nan,0,0,0,nan
